,summer song,summer artist,year summer,winter song,winter artist,year winter
0,Despacito, Luis Fonsi & Daddy Yankee Featuring Justin Bieber,2017,Perfect, Ed Sheeran,2017
1,Thats What I Like, Bruno Mars,2017,Rockstar, Post Malone Featuring 21 Savage,2017
2,Im The One," DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",2017,Havana, Camila Cabello Featuring Young Thug,2017
3,Shape Of You, Ed Sheeran,2017,Gucci Gang, Lil Pump,2017
4,Humble., Kendrick Lamar,2017,Thunder, Imagine Dragons,2017
5,Mask Off, Future,2017,Too Good At Goodbyes, Sam Smith,2017
6,XO TOUR Llif3, Lil Uzi Vert,2017,No Limit, G-Eazy Featuring A$AP Rocky & Cardi B,2017
7,Something Just Like This, The Chainsmokers & Coldplay,2017,Bad At Love, Halsey,2017
8,Stay, Zedd & Alessia Cara,2017,Bodak Yellow (Money Moves), Cardi B,2017
9,Congratulations, Post Malone Featuring Quavo,2017,What Lovers Do, Maroon 5 Featuring SZA,2017
10,Say You Wont Let Go, James Arthur,2017,All I Want For Christmas Is You, Mariah Carey,2017
11,Issues, Julia Michaels,2017,Feel It Still, Portugal. The Man,2017
12,Believer, Imagine Dragons,2017,Gummo, 6ix9ine,2017
13,Body Like A Back Road, Sam Hunt,2017,I Get The Bag, Gucci Mane Featuring Migos,2017
14,It Aint Me, Kygo x Selena Gomez,2017,MotorSport," Migos, Nicki Minaj & Cardi B",2017
15,Redbone, Childish Gambino,2017,Sorry Not Sorry, Demi Lovato,2017
16,Unforgettable, French Montana Featuring Swae Lee,2017,New Rules, Dua Lipa,2017
17,Theres Nothing Holdin Me Back, Shawn Mendes,2017,Mi Gente, J Balvin & Willy William Featuring Beyonce,2017
18,iSpy, KYLE Featuring Lil Yachty,2017,1-800-273-8255, Logic Featuring Alessia Cara & Khalid,2017
19,In Case You Didnt Know, Brett Young,2017,Wolves, Selena Gomez X Marshmello,2017
20,Now Or Never, Halsey,2017,Him & I, G-Eazy & Halsey,2017
21,Location, Khalid,2017,Let You Down, NF,2017
22,Castle On The Hill, Ed Sheeran,2017,I Fall Apart, Post Malone,2017
23,Rolex, Ayo & Teo,2017,Bank Account, 21 Savage,2017
24,Sign Of The Times, Harry Styles,2017,Shape Of You, Ed Sheeran,2017
25,Malibu, Miley Cyrus,2017,How Long, Charlie Puth,2017
26,DNA., Kendrick Lamar,2017,Love., Kendrick Lamar Featuring Zacari,2017
27,Slow Hands, Niall Horan,2017,Young Dumb & Broke, Khalid,2017
28,Swalla, Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,2017,The Way Life Goes, Lil Uzi Vert Featuring Nicki Minaj,2017
29,Bad And Boujee, Migos Featuring Lil Uzi Vert,2017,Believer, Imagine Dragons,2017
30,Attention, Charlie Puth,2017,Meant To Be, Bebe Rexha & Florida Georgia Line,2017
31,Closer, The Chainsmokers Featuring Halsey,2017,Despacito, Luis Fonsi & Daddy Yankee Featuring Justin Bieber,2017
32,Swang, Rae Sremmurd,2017,Silence, Marshmello Featuring Khalid,2017
33,Passionfruit, Drake,2017,Unforgettable, French Montana Featuring Swae Lee,2017
34,Slide, Calvin Harris Featuring Frank Ocean & Migos,2017,Sky Walker, Miguel Featuring Travis Scott,2017
35,Goosebumps, Travis Scott,2017,Attention, Charlie Puth,2017
36,Hurricane, Luke Combs,2017,Rockin Around The Christmas Tree, Brenda Lee,2017
37,Tunnel Vision, Kodak Black,2017,The Weekend, SZA,2017
38,T-Shirt, Migos,2017,End Game, Taylor Swift Featuring Ed Sheeran & Future,2017
39,Magnolia, Playboi Carti,2017,Thats What I Like, Bruno Mars,2017
40,24K Magic, Bruno Mars,2017,Plain Jane, A$AP Ferg Featuring Nicki Minaj,2017
41,Down, Fifth Harmony Featuring Gucci Mane,2017,The Christmas Song (Merry Christmas To You), Nat King Cole,2017
42,Slippery, Migos Featuring Gucci Mane,2017,...Ready For It?, Taylor Swift,2017
43,Drowning, A Boogie Wit da Hoodie Featuring Kodak Black,2017,Ric Flair Drip, Offset & Metro Boomin,2017
44,Bad Liar, Selena Gomez,2017,Its The Most Wonderful Time Of The Year, Andy Williams,2017
45,The Cure, Lady Gaga,2017,Theres Nothing Holdin Me Back, Shawn Mendes,2017
46,Scars To Your Beautiful, Alessia Cara,2017,A Holly Jolly Christmas, Burl Ives,2017
47,The Fighter, Keith Urban Featuring Carrie Underwood,2017,Rubbin Off The Paint, YBN Nahmir,2017
48,Rockabye, Clean Bandit Featuring Sean Paul & Anne-Marie,2017,Congratulations, Post Malone Featuring Quavo,2017
49,"God, Your Mama, And Me", Florida Georgia Line Featuring Backstreet Boys,2017,Humble., Kendrick Lamar,2017
50,Strip That Down, Liam Payne Featuring Quavo,2017,What About Us, P!nk,2017
51,Craving You, Thomas Rhett Featuring Maren Morris,2017,Pills And Automobiles," Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",2017
52,To The Max, DJ Khaled Featuring Drake,2017,Tell Me You Love Me, Demi Lovato,2017
53,If I Told You, Darius Rucker,2017,Greatest Love Story, LANCO,2017
54,Look At Me!, XXXTENTACION,2017,Let Me Go, Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,2017
55,Crying In The Club, Camila Cabello,2017,Roll In Peace, Kodak Black Featuring XXXTENTACION,2017
56,Love., Kendrick Lamar Featuring Zacari,2017,Light It Up, Luke Bryan,2017
57,Cold, Maroon 5 Featuring Future,2017,Codeine Dreaming, Kodak Black Featuring Lil Wayne,2017
58,First Day Out, Tee Grizzley,2017,Candy Paint, Post Malone,2017
59,How Not To, Dan + Shay,2017,Lemon, N*E*R*D & Rihanna,2017
60,My Girl, Dylan Scott,2017,Kooda, 6ix9ine,2017
61,Everyday We Lit, YFN Lucci Featuring PnB Rock,2017,Like I Loved You, Brett Young,2017
62,Every Time I Hear That Song, Blake Shelton,2017,Ill Name The Dogs, Blake Shelton,2017
63,Portland, Drake Featuring Quavo & Travis Scott,2017,Good Old Days, Macklemore Featuring Kesha,2017
